motif,biblical_home,later_traditions,lemmas
light_darkness,Gn 1; J 1; 1J — stvoření a janovský dualismus,gnostic; zoroastrian; new_age; theosophical,dark; darkness; light; světelný; světlo; temnota; temný; tma
soul_body,"hebr. nefeš / gr. psyché — antropológia, nie platónsky dualizmus",platonic; neoplatonic; pythagorean; theosophical; hindu; buddhist; new_age,body; duše; soul; tělo
spirit,"hebr. rúach / gr. pneuma — Duch Boží, nie šamanizmus",shamanic; new_age; theosophical; stoic,duch; duchovní; spirit; spiritual
logos_word,"J 1: BKR prekladá λόγος ako Slovo. Ide o kresťanský motív (Slovo u Boha / v tele), ktorý je formálne blízky stoickému Logu — nie dôkaz, že Ján je stoik, a nie každé české „slovo“.",stoic; neoplatonic; theosophical,slovo; word
word_of_god,"dabar YHWH / slovo Hospodinovo alebo slovo Boží — prorocký a zmluvný register, nie stoický Logos",,slovo; word
word_common,"bežné „slovo“ (reč, správa, výpoveď) — lemma ostáva v analýze, ale nie je λόγος ani dabar",,slovo; word
mystery,"Pavlov μυστήριον — skrytý plán spásy, nie gnostická gnóza",gnostic; hermetic; kabbalistic; theosophical,hidden; mystery; skrytý; tajemství
love,"NT agapé — zmluva a prikázanie, nie súfijský 'wine/love'",sufi,love; láska; milovat
one_unity,"Shema / J 17 — jedinosť Boha, nie novoplatónske Jedno",neoplatonic; theosophical,jediný; jedno; jednota; one
immortality,"NZ vzkriesenie a večný život, nie platónska nesmrteľnosť duše",platonic; theosophical; hindu; buddhist,immortality; nesmrtelnost; věčnost; věčný
number_harmony,"symbolika v Zjavení, nie pythagorejská náuka o čísle",pythagorean; kabbalistic,harmonie; harmony; number; číslo
virtue_nature_fate,"NZ areté / stvorenie, nie stoická fyzika",stoic,ctnost; fate; nature; osud; příroda; virtue
pleasure_pain,"pastorálne listy a žalmy, nie epikurejská ataraxia",epicurean,bolest; klid; pain; pleasure; slast
consciousness_energy,v BKR takmer neprítomné; v teozofii/New Age ide o kľúčový slovník,theosophical; new_age; tantric; jungian,awakening; consciousness; energie; energy; plan; plán; probuzení; vědomí
